PMT ID,X Position,Y Position,Z Position
162,401.6652,-969.7055,439.00000000000006
163,401.6652,-969.7055,219.5
164,401.6652,-969.7055,0.0
165,401.6652,-969.7055,-219.5
166,401.6652,-969.7055,-439.0
167,401.6652,-969.7055,-658.5
168,137.0005,-1040.6222,658.5
169,137.0005,-1040.6222,439.00000000000006
170,137.0005,-1040.6222,219.5
171,137.0005,-1040.6222,0.0
172,137.0005,-1040.6222,-219.5
173,137.0005,-1040.6222,-439.0
174,137.0005,-1040.6222,-658.5
175,-137.0005,-1040.6222,658.5
176,-137.0005,-1040.6222,439.00000000000006
177,-137.0005,-1040.6222,219.5
178,-137.0005,-1040.6222,0.0
179,-137.0005,-1040.6222,-219.5
180,-137.0005,-1040.6222,-439.0
181,-137.0005,-1040.6222,-658.5
182,-401.6652,-969.7055,658.5
183,-401.6652,-969.7055,439.00000000000006
184,-401.6652,-969.7055,219.5
185,-401.6652,-969.7055,0.0
186,-401.6652,-969.7055,-219.5
187,-401.6652,-969.7055,-439.0
188,-401.6652,-969.7055,-658.5
189,-638.957,-832.705,658.5
190,-638.957,-832.705,439.00000000000006
191,-638.957,-832.705,219.5
192,-638.957,-832.705,0.0
193,-638.957,-832.705,-219.5
194,-638.957,-832.705,-439.0
195,-638.957,-832.705,-658.5
196,-832.705,-638.957,658.5
197,-832.705,-638.957,439.00000000000006
198,-832.705,-638.957,219.5
199,-832.705,-638.957,0.0
200,-832.705,-638.957,-219.5
201,-832.705,-638.957,-439.0
202,-832.705,-638.957,-658.5
203,-969.7055,-401.6652,658.5
204,-969.7055,-401.6652,439.00000000000006
205,-969.7055,-401.6652,219.5
206,-969.7055,-401.6652,0.0
207,-969.7055,-401.6652,-219.5
208,-969.7055,-401.6652,-439.0
209,-969.7055,-401.6652,-658.5
210,-1040.6222,-137.0005,658.5
211,-1040.6222,-137.0005,439.00000000000006
212,-1040.6222,-137.0005,219.5
213,-1040.6222,-137.0005,0.0
214,-1040.6222,-137.0005,-219.5
215,-1040.6222,-137.0005,-439.0
216,-1040.6222,-137.0005,-658.5
217,0.0,-658.2630426,1149.73468817
218,0.0,-333.70812729,1232.16113626
219,0.0,333.70812729,1232.16113626
220,0.0,658.2630426,1149.73468817
221,-285.5184014,-814.30956245,1066.50182677
222,-302.33780102,-497.69491676,1174.21573576
223,-310.86443885,-167.42909866,1228.82157627
224,-310.86443885,167.42909866,1228.82157627
225,-302.33780102,497.69491676,1174.21573576
226,-285.5184014,814.30956245,1066.50182677
227,-607.94853693,-333.70812728,1137.23068996
228,-616.40212121,0.0,1163.63967968
229,-607.94853693,333.70812728,1137.23068996
230,-582.81965578,658.2630426,1058.72808695
231,285.5184014,-814.30956245,1066.50182677
232,302.33780102,-497.69491676,1174.21573576
233,310.86443885,-167.42909866,1228.82157627
234,310.86443885,167.42909866,1228.82157627
235,302.33780102,497.69491676,1174.21573576
236,285.5184014,814.30956245,1066.50182677
237,582.81965578,-658.2630426,1058.72808695
238,607.94853693,-333.70812728,1137.23068996
239,616.40212121,0.0,1163.63967968
240,607.94853693,333.70812728,1137.23068996
