eventNumber,hitDetID,hitT,hitQ
10,"[340, 340, 361, 416, 416, 416, 416, 416, 420, 420, 420, 450, 450, 450, 450, 450]","[631.3333333333334, 783.3333333333334, 468.4, 383.5062761506276, 398.0, 407.2758620689655, 423.14285714285717, 434.0, 606.0, 753.0, 912.0, 385.0, 409.0, 502.0, 644.6666666666666, 786.0]","[0.0021225585937500006, 0.0027357421875000005, 0.0016037109375, 0.18539370117187504, 0.029031884765625, -0.0004245117187499997, 0.0026649902343750006, 0.0007075195312499999, 0.0029951660156250005, 0.0037026855468750004, 0.0026649902343750006, 0.0012027832031250001, 0.001202783203125, 0.00476396484375, 0.0077355468750000015, 0.00792421875]"
11,"[339, 366, 369, 400, 416, 416, 416, 416, 416, 416, 416, 416, 420, 420, 420, 421, 424, 443, 450, 450, 450, 450, 457, 459]","[781.0, 1561.25, 1948.0, 178.0, 383.2226322263223, 398.0, 407.0843373493976, 422.9230769230769, 424.0, 432.0, 440.0, 448.0, 610.0, 755.0, 919.0, 223.33333333333334, 463.3, 477.4, 385.3333333333333, 502.6666666666667, 643.3333333333334, 783.3333333333334, 466.0, 64.76190476190476]","[0.0017216308593750002, 0.0022168945312500007, 0.0014150390624999998, 7.393060253906283, 0.18044106445312497, 0.02617822265625001, -0.00035375976562500007, 0.001532958984375, 0.0014857910156250004, 0.00037734375, 0.000259423828125, 0.000400927734375, 0.0027593261718750002, 0.0030895019531250005, 0.0015801269531250002, 0.0017923828125000008, 0.002381982421875, 0.002240478515625, 0.00108486328125, 0.0032781738281249997, 0.006414843750000001, 0.007075195312500003, 0.0024763183593750006, 0.00287724609375]"
12,"[344, 380, 394, 416, 416, 416, 416, 416, 416, 420, 420, 420, 450, 450, 450, 450, 450, 460]","[624.0, 1553.3333333333333, 489.6, 382.97545219638243, 398.0, 406.92063492063494, 422.8, 424.0, 447.8666666666667, 608.0, 747.0, 923.0, 384.8, 409.2, 501.7142857142857, 644.4, 788.5, 1903.4285714285713]","[0.0025470703125000005, 0.0019103027343750005, 0.001249951171875, 0.18279946289062493, 0.032899658203125, 2.3583984374999923e-05, 0.0016508789062500001, 0.0013207031249999998, 7.0751953125e-05, 0.0031838378906250005, 0.003962109375000001, 0.002051806640625, 0.00113203125, 0.001391455078125, 0.00457529296875, 0.007004443359375, 0.006745019531250002, 0.001249951171875]"
13,"[366, 373, 384, 384, 394, 400, 416, 416, 416, 416, 416, 416, 416, 420, 420, 424, 450, 450, 450, 450]","[1910.0, 460.1818181818182, 683.4, 1944.0, 473.6, 1607.6, 382.762677484787, 398.0, 406.6938775510204, 422.63157894736844, 424.0, 432.0, 440.0, 616.6666666666666, 745.3333333333334, 154.5, 384.6666666666667, 502.6666666666667, 646.0, 788.0]","[0.0012971191406250008, 0.002098974609375, 0.0018395507812500001, 0.0025234863281250004, 0.00155654296875, 0.0007546874999999999, 0.18386074218750004, 0.032333642578125, -7.075195312500011e-05, 0.001674462890625, 0.001509375, 0.00030659179687499995, 0.000212255859375, 0.0029715820312500004, 0.003938525390625001, 0.003726269531250001, 0.0008490234375000002, 0.0028536621093750002, 0.005966748046875001, 0.0052828125]"
14,"[366, 416, 416, 416, 416, 416, 416, 420, 450, 450, 450, 450, 450]","[485.0, 383.142498430634, 398.0, 407.1358024691358, 423.1333333333333, 424.0, 432.0, 608.0, 386.0, 407.6, 501.2, 644.0, 785.0]","[0.0016272949218750002, 0.18164384765625, 0.024055664062500003, -0.00018867187499999987, 0.001674462890625, 0.0011320312500000002, 0.00021225585937500007, 0.00259423828125, 0.001061279296875, 0.0011320312500000002, 0.004716796875000002, 0.007145947265625001, 0.00749970703125]"
15,"[340, 366, 367, 416, 416, 416, 416, 416, 416, 420, 420, 420, 450, 450, 450, 450, 450]","[637.3333333333334, 715.5, 467.42857142857144, 383.2252475247525, 398.0, 407.17241379310343, 423.0967741935484, 424.0, 447.8, 608.6666666666666, 745.3333333333334, 920.0, 385.5, 409.0, 502.8, 645.0, 787.0]","[0.0017452148437500001, 0.0008961914062500003, 0.003231005859375001, 0.1810778320312499, 0.025211279296875, -0.0004245117187499997, 0.0017452148437500001, 0.0012971191406250001, 0.000117919921875, 0.0033253417968750003, 0.00457529296875, 0.0024291503906250004, 0.001108447265625, 0.0009433593750000001, 0.0036555175781249993, 0.0069572753906250034, 0.006839355468750003]"
16,"[339, 356, 416, 416, 416, 416, 416, 416, 420, 420, 420, 450, 450, 450, 450, 450]","[783.0, 469.2, 382.9491525423729, 398.0, 408.0, 423.0, 424.0, 432.0, 606.0, 747.0, 923.0, 384.0, 409.0, 501.2, 645.0, 786.0]","[0.0014386230468749997, 0.0015801269531250002, 0.183365478515625, 0.023112304687499998, 0.00188671875, 0.0016037109375, 0.00136787109375, 0.00033017578125, 0.0030895019531249996, 0.003938525390625001, 0.0015801269531250002, 0.00117919921875, 0.0009669433593750002, 0.0044337890625, 0.007688378906250001, 0.006627099609375003]"
17,"[339, 339, 367, 416, 416, 416, 416, 416, 416, 420, 420, 450, 450, 450, 450]","[617.3333333333334, 776.0, 677.4, 383.17801374141163, 398.0, 407.1666666666667, 423.07142857142856, 424.0, 432.0, 606.6666666666666, 746.0, 385.0, 502.5, 644.5, 783.0]","[0.0018395507812500004, 0.0018631347656249998, 0.0037498535156250024, 0.18136083984374998, 0.024598095703125007, -0.0004952636718749999, 0.0015801269531250004, 0.0013914550781250002, 0.0003301757812500001, 0.0033960937500000007, 0.004174365234375, 0.00113203125, 0.003938525390625, 0.00721669921875, 0.007900634765625]"
18,"[344, 366, 400, 416, 416, 416, 416, 416, 416, 416, 420, 420, 420, 424, 426, 450, 450, 450, 450, 450]","[641.3333333333334, 275.6666666666667, 466.7142857142857, 383.3577185368878, 398.0, 408.0, 423.2352941176471, 424.0, 447.77777777777777, 448.0, 607.0, 752.0, 921.0, 1559.4, 1219.3333333333333, 387.0, 409.0, 501.42857142857144, 646.0, 786.0]","[0.0013914550781250002, 0.0009197753906250001, 0.0028064941406250004, 0.18860112304687504, 0.023583984375000002, 0.0013914550781250002, 0.0016980468750000003, 0.001202783203125, 0.000212255859375, 0.000566015625, 0.0030659179687499995, 0.003396093750000001, 0.0018159667968750003, 0.001910302734375, 0.001957470703125, 0.0012499511718750001, 0.0010848632812500002, 0.004598876953125001, 0.007051611328125003, 0.006627099609375003]"
19,"[366, 416, 416, 416, 416, 416, 416, 416, 416, 420, 420, 420, 436, 450, 450, 450, 450, 450]","[160.8, 383.0841239721695, 398.0, 408.0, 423.0, 424.0, 432.0, 440.0, 463.7142857142857, 616.0, 746.0, 922.0, 291.7142857142857, 385.3333333333333, 409.0, 501.0, 646.6666666666666, 787.0]","[0.0014622070312500003, 0.18282304687500003, 0.02389057617187501, 0.00188671875, 0.001863134765625, 0.0016037109375000003, 0.00042451171874999987, 0.00028300781249999995, 0.00037734374999999997, 0.003136669921875001, 0.0038206054687499997, 0.0017216308593749996, 0.0020282226562499993, 0.00113203125, 0.001061279296875, 0.00391494140625, 0.0061318359375, 0.006650683593750003]"
