eventNumber,hitDetID,hitT,hitQ
30,"[339, 416, 416, 416, 416, 416, 416, 420, 420, 420, 450, 450, 450, 450, 450]","[767.5, 383.42409638554216, 398.0, 407.2710280373832, 423.1666666666667, 424.0, 434.0, 609.0, 770.6666666666666, 922.0, 384.6666666666667, 408.0, 502.6666666666667, 642.0, 788.0]","[0.002617822265625, 0.18711533203125, 0.026838574218750005, -0.0003065917968749999, 0.0020282226562499998, 0.0016508789062500001, 0.000589599609375, 0.003396093750000001, 0.005565820312500001, 0.0021697265625000004, 0.0012263671875000002, 0.00099052734375, 0.0036791015625000007, 0.007098779296875003, 0.0076647949218750025]"
31,"[369, 416, 416, 416, 416, 416, 416, 416, 420, 420, 420, 450, 450, 450, 450, 450]","[1297.0, 383.1316950220542, 398.0, 407.125, 422.92857142857144, 424.0, 432.0, 440.0, 608.6666666666666, 769.6, 921.0, 386.0, 408.0, 501.3333333333333, 645.0, 783.5]","[0.00117919921875, 0.18225703125000003, 0.024173583984375004, -0.00021225585937499985, 0.0014150390625, 0.0015565429687499997, 0.000566015625, 0.000259423828125, 0.0033017578125, 0.004480957031249999, 0.003160253906250001, 0.0012027832031250001, 0.001202783203125, 0.004929052734375001, 0.007641210937500002, 0.007098779296875005]"
32,"[357, 362, 378, 416, 416, 416, 416, 416, 416, 416, 416, 420, 420, 420, 450, 450, 450, 450, 450]","[459.38461538461536, 810.5, 461.5, 383.30483271375465, 398.0, 408.0, 423.16129032258067, 424.0, 432.0, 463.6, 479.0, 604.0, 753.0, 915.0, 384.0, 409.0, 501.3333333333333, 644.6666666666666, 786.6666666666666]","[0.0052592285156250005, 0.0014857910156250002, 0.00089619140625, 0.18895488281250003, 0.02381982421875, 0.001674462890625, 0.0018395507812499997, 0.001532958984375, 0.000495263671875, 0.000589599609375, 0.000495263671875, 0.0032545898437500017, 0.0042451171875, 0.002523486328125, 0.0014622070312499996, 0.0012499511718750001, 0.00410361328125, 0.006815771484375002, 0.006886523437500003]"
33,"[339, 358, 376, 389, 416, 416, 416, 416, 416, 416, 416, 416, 420, 420, 436, 450, 450, 450, 450, 450]","[617.3333333333334, 500.6666666666667, 514.0, 460.7692307692308, 383.1542785758901, 398.0, 407.1190476190476, 422.9655172413793, 424.0, 432.0, 447.6923076923077, 479.5, 608.0, 753.0, 473.2857142857143, 385.5, 409.0, 501.3333333333333, 646.0, 787.0]","[0.001910302734375, 0.0012735351562500003, 0.0015093750000000003, 0.0033017578125000024, 0.181691015625, 0.025140527343750003, -0.0001179199218750001, 0.002051806640625, 0.001698046875, 0.000448095703125, 0.0002830078125, 0.0008254394531250001, 0.0033253417968750003, 0.003278173828125002, 0.00108486328125, 0.0011084472656250001, 0.0009197753906250001, 0.004221533203124998, 0.007334619140625003, 0.007098779296875002]"
34,"[339, 339, 367, 416, 416, 416, 416, 416, 416, 416, 420, 420, 450, 450, 450, 450, 450]","[617.0, 774.0, 1381.090909090909, 383.4930764599639, 398.0, 407.3090909090909, 423.1515151515151, 424.0, 432.57142857142856, 440.0, 604.0, 761.3333333333334, 386.0, 409.3333333333333, 502.0, 646.0, 784.0]","[0.0020046386718749996, 0.0019338867187499997, 0.0035847656250000003, 0.18631347656249997, 0.027310253906250005, -0.00023583984375000007, 0.0021461425781250003, 0.001509375, 0.0004245117187499999, 0.000259423828125, 0.0023583984375, 0.0026649902343749998, 0.0011084472656250001, 0.000943359375, 0.0036555175781250006, 0.006674267578125002, 0.006556347656250003]"
35,"[416, 416, 416, 416, 416, 416, 420, 450, 450, 450, 450, 450]","[383.9480337078652, 400.0, 407.50354609929076, 423.3636363636364, 434.0, 449.5, 604.0, 387.0, 410.0, 502.0, 646.0, 784.0]","[0.185959716796875, 0.030211083984375, -0.0002358398437500004, 0.0027357421875000005, 0.0004716796875, 0.000589599609375, 0.0028064941406250017, 0.0009197753906249999, 0.001061279296875, 0.004221533203125001, 0.006061083984375001, 0.007004443359374999]"
36,"[334, 339, 350, 372, 392, 416, 420, 424, 432, 433, 439, 450, 450, 450, 450, 458]","[818.0, 776.0, 1727.2, 1378.8, 1727.6666666666667, 383.2133333333333, 602.0, 461.6, 1737.25, 1728.7142857142858, 1736.4, 386.0, 502.6666666666667, 646.0, 786.0, 1731.6]","[0.002900830078125, 0.0019574707031250003, 0.0017452148437499995, 0.002193310546875, 0.0024055664062500003, 7.857287402343775, 0.0026885742187499994, 0.0028772460937500012, 0.002004638671875, 0.004999804687500002, 0.0037262695312499997, 0.0009197753906250001, 0.0033725097656249997, 0.006674267578125002, 0.006131835937500001, 0.0015565429687500007]"
37,"[339, 389, 398, 416, 416, 416, 416, 416, 416, 420, 420, 450, 450, 450, 450, 450, 461]","[777.0, 1456.0, 463.29411764705884, 383.26600985221677, 398.0, 407.15909090909093, 423.06666666666666, 424.0, 434.0, 603.3333333333334, 747.0, 384.6666666666667, 409.3333333333333, 502.0, 644.0, 783.0, 1141.5]","[0.0017923828125000006, 0.0014857910156250002, 0.002900830078125, 0.18890771484375, 0.026060302734375, -0.0001179199218750001, 0.00202822265625, 0.001391455078125, 0.00033017578125, 0.0033725097656250014, 0.00438662109375, 0.000872607421875, 0.000966943359375, 0.0037734375, 0.006273339843750002, 0.00599033203125, 0.0012735351562500003]"
38,"[378, 416, 416, 416, 416, 416, 416, 416, 420, 420, 450, 450, 450, 450, 450]","[1508.3333333333333, 383.4630303030303, 398.0, 407.2962962962963, 423.2105263157895, 424.0, 434.0, 455.7142857142857, 610.6666666666666, 744.0, 386.0, 411.0, 502.0, 646.0, 783.3333333333334]","[0.0018159667968749998, 0.18702099609375, 0.026531982421875, -0.00021225585937500007, 0.0019810546874999995, 0.00155654296875, 0.00051884765625, 0.0006603515625, 0.0030187499999999997, 0.0041743652343750005, 0.00113203125, 0.0009197753906250001, 0.004009277343749999, 0.006910107421875002, 0.006627099609375]"
39,"[339, 339, 366, 394, 416, 416, 416, 416, 416, 416, 416, 420, 420, 450, 450, 450, 450, 450]","[482.0, 767.0, 89.42857142857143, 465.75, 383.2968653964352, 398.0, 407.2391304347826, 423.1875, 424.0, 434.0, 440.0, 611.0, 747.0, 385.0, 408.6666666666667, 502.0, 643.0, 788.0]","[0.0011320312500000002, 0.002523486328125, 0.0009433593750000001, 0.001627294921875, 0.18893129882812504, 0.025494287109375, -0.0003537597656250003, 0.001863134765625, 0.001438623046875, 0.00042451171875, 0.00014150390625, 0.002995166015625002, 0.004009277343749999, 0.0016508789062500003, 0.0016272949218750002, 0.0040564453124999995, 0.007122363281250003, 0.006910107421875004]"
40,"[366, 366, 416, 416, 416, 416, 416, 420, 420, 420, 437, 450, 450, 450, 450, 450]","[187.0, 937.6666666666666, 383.3386405388855, 398.0, 407.2857142857143, 423.1875, 434.0, 606.0, 762.0, 920.0, 1891.6, 385.5, 408.0, 501.6, 645.3333333333334, 786.0]","[0.00080185546875, 0.0008961914062500003, 0.18876621093750004, 0.024928271484374993, -0.0003301757812500001, 0.0023583984375, 0.0004716796875, 0.003136669921875, 0.0028064941406249996, 0.0018867187500000002, 0.001532958984375, 0.00113203125, 0.0010848632812500002, 0.004032861328125001, 0.006627099609375001, 0.006697851562500002]"
41,"[340, 377, 416, 416, 416, 416, 416, 416, 420, 420, 450, 450, 450, 450, 450]","[637.3333333333334, 465.0, 383.2354399008674, 398.0, 407.1868131868132, 423.0967741935484, 424.0, 434.0, 602.0, 753.3333333333334, 384.6666666666667, 409.3333333333333, 501.5, 646.0, 786.5]","[0.0018395507812500001, 0.0012263671875000002, 0.18044106445312497, 0.025164111328125002, -0.00033017578125, 0.001721630859375, 0.0014150390624999998, 0.00018867187500000006, 0.00287724609375, 0.0035611816406249997, 0.001061279296875, 0.0010848632812500002, 0.003985693359375, 0.00655634765625, 0.006862939453125002]"
42,"[344, 364, 366, 373, 398, 401, 416, 416, 416, 416, 416, 416, 416, 420, 420, 420, 421, 421, 421, 425, 442, 442, 450, 450, 450, 450]","[635.0, 652.0, 1109.3333333333333, 462.8333333333333, 451.6666666666667, 1341.0, 383.2493917274939, 398.0, 407.05494505494505, 422.85714285714283, 432.0, 440.0, 623.3333333333334, 605.3333333333334, 752.0, 913.3333333333334, 917.0, 1740.5555555555557, 1742.0, 508.3333333333333, 420.5263157894737, 422.0, 386.0, 502.0, 647.3333333333334, 787.0]","[0.0017923828125, 0.00193388671875, 0.0017452148437500003, 0.00193388671875, 0.002429150390625, 0.0015801269531250004, 0.18808227539062497, 0.027994189453125002, -0.00035375976562499996, 0.002146142578125, 0.000636767578125, 0.00113203125, 0.0017216308593750005, 0.0032310058593750008, 0.004457373046875, 0.0028300781250000006, 0.00099052734375, 0.00202822265625, 0.002287646484375, 0.0021933105468750005, 0.002051806640625, 0.0035140136718750034, 0.0011084472656250001, 0.003136669921875, 0.006721435546875002, 0.005919580078125001]"
43,"[369, 397, 410, 416, 416, 416, 416, 416, 416, 420, 450, 450, 450, 450, 450]","[616.6666666666666, 458.3333333333333, 785.3333333333334, 383.23277467411543, 398.0, 407.1904761904762, 423.037037037037, 424.0, 447.8181818181818, 608.0, 385.6, 409.3333333333333, 502.0, 645.0, 786.0]","[0.0014857910156250002, 0.0019574707031250007, 0.00113203125, 0.18143159179687499, 0.024527343750000003, -0.00023583984375, 0.001863134765625, 0.0016037109375000003, 9.43359375e-05, 0.0025234863281250004, 0.00108486328125, 0.00099052734375, 0.00382060546875, 0.006438427734375001, 0.006509179687500001]"
44,"[339, 339, 341, 344, 366, 369, 416, 416, 416, 416, 416, 416, 420, 420, 450, 450, 450, 450, 450]","[617.3333333333334, 768.0, 466.1818181818182, 633.3333333333334, 547.1428571428571, 953.0, 383.23774053382994, 398.0, 407.22727272727275, 423.1875, 424.0, 432.0, 608.0, 751.3333333333334, 386.0, 409.0, 501.5, 644.4, 784.0]","[0.002075390625, 0.0024763183593749997, 0.002287646484375, 0.0018867187500000006, 0.0014857910156250002, 0.001297119140625, 0.1814080078125, 0.024645263671875, -0.00042451171875000014, 0.001768798828125, 0.0013914550781250002, 0.00044809570312500003, 0.0026649902343750006, 0.0037734375000000003, 0.0011556152343750001, 0.00113203125, 0.0040564453125, 0.007476123046875002, 0.007452539062500001]"
45,"[360, 366, 366, 367, 383, 416, 416, 416, 416, 420, 420, 425, 450, 450, 450, 450, 450]","[1506.4, 99.66666666666667, 1592.5, 666.9090909090909, 1093.6666666666667, 383.5894357743097, 398.0, 407.33898305084745, 423.2432432432432, 608.0, 752.0, 466.53333333333336, 386.0, 409.5, 502.0, 644.0, 783.3333333333334]","[0.0023348144531250004, 0.001320703125, 0.001320703125, 0.004929052734375003, 0.001344287109375, 0.18475693359374998, 0.028253613281250003, -0.0004716796875000002, 0.0024527343750000005, 0.0029951660156250005, 0.003561181640625001, 0.0019810546875, 0.0010612792968749999, 0.0008490234375000002, 0.003962109375, 0.0072166992187500025, 0.007004443359375001]"
46,"[405, 415, 416, 416, 416, 416, 416, 416, 416, 420, 420, 450, 450, 450, 450, 450]","[481.3333333333333, 466.72727272727275, 383.2930402930403, 398.0, 407.16129032258067, 423.06666666666666, 424.0, 432.0, 440.0, 611.0, 747.0, 385.0, 409.0, 502.0, 644.6666666666666, 784.6666666666666]","[0.002429150390625001, 0.0024763183593749997, 0.18855395507812503, 0.026461230468750003, -0.00018867187499999993, 0.002051806640625, 0.0016272949218750002, 0.0006839355468750001, 0.0005895996093750001, 0.0023112304687500007, 0.003372509765625, 0.0009669433593749999, 0.0008961914062500001, 0.003631933593750001, 0.007711962890625004, 0.006532763671875004]"
47,"[339, 340, 344, 366, 407, 416, 416, 416, 416, 416, 416, 420, 420, 420, 450, 450, 450, 450, 450, 462]","[777.0, 638.0, 466.0, 1600.5, 469.0769230769231, 383.28799019607845, 398.0, 407.1489361702128, 423.0967741935484, 424.0, 434.0, 603.0, 754.0, 919.0, 386.0, 409.0, 502.0, 646.0, 786.0, 1964.857142857143]","[0.001957470703125, 0.0020282226562500006, 0.003631933593750001, 0.0027357421875000014, 0.0018395507812500006, 0.18782285156249998, 0.026296142578125, -0.00047167968750000004, 0.001674462890625, 0.0014150390624999998, 0.00023583984375000002, 0.0033489257812500013, 0.004716796875000001, 0.0021697265625, 0.0013678710937500003, 0.0012263671874999998, 0.00382060546875, 0.006202587890625001, 0.0061318359375000025, 0.0016037109375]"
48,"[344, 365, 416, 416, 416, 416, 416, 416, 420, 420, 420, 450, 450, 450, 450, 450]","[466.8, 729.1428571428571, 383.28484107579465, 398.0, 407.16483516483515, 423.03225806451616, 432.0, 440.0, 608.0, 747.3333333333334, 906.0, 384.8, 410.0, 501.2, 647.0, 787.0]","[0.002712158203125001, 0.0016980468750000003, 0.18834169921875, 0.026319726562500003, -0.0002594238281250002, 0.0024763183593749997, 0.0004716796875, 0.000306591796875, 0.0033725097656249997, 0.004834716796875, 0.0029479980468750007, 0.0012499511718750001, 0.0008490234375000002, 0.003844189453125001, 0.0068393554687500024, 0.006108251953124999]"
49,"[361, 366, 366, 372, 407, 416, 416, 416, 416, 416, 416, 420, 420, 420, 450, 450, 450, 450, 450]","[482.8, 1541.3333333333333, 1691.3333333333333, 462.6666666666667, 1226.4, 383.4224086279209, 398.0, 407.22522522522524, 423.09090909090907, 424.0, 434.0, 610.0, 753.3333333333334, 913.5, 384.8, 409.0, 502.6666666666667, 646.0, 785.0]","[0.00117919921875, 0.00117919921875, 0.0013442871093750004, 0.001698046875, 0.0024291503906250004, 0.18584179687500002, 0.029126220703125007, -0.00047167968749999993, 0.002075390625, 0.0016037109375, 0.0005895996093750001, 0.0029715820312499995, 0.0033253417968750016, 0.0023112304687500002, 0.001202783203125, 0.0010376953125000002, 0.00400927734375, 0.006603515624999999, 0.006674267578125]"
50,"[339, 391, 416, 416, 416, 416, 416, 420, 420, 420, 450, 450, 450, 450, 450]","[769.3333333333334, 1865.4285714285713, 383.18600368324127, 398.0, 407.03614457831327, 422.93333333333334, 432.0, 609.0, 749.0, 913.0, 384.6666666666667, 410.0, 502.0, 644.6666666666666, 784.0]","[0.002381982421875, 0.002287646484375001, 0.18048823242187503, 0.027333837890624997, -0.0006131835937499998, 0.0019810546874999995, 0.00051884765625, 0.0027593261718750007, 0.003891357421874999, 0.0022404785156250003, 0.0010376953125, 0.0009669433593750002, 0.003820605468749999, 0.007782714843750002, 0.007570458984375001]"
51,"[334, 366, 397, 416, 416, 416, 416, 416, 416, 416, 420, 420, 450, 450, 450, 450]","[823.5, 1658.3333333333333, 461.0, 383.4877024595081, 398.0, 407.2566371681416, 423.1578947368421, 424.0, 434.0, 440.0, 602.0, 755.0, 386.5, 503.0, 645.0, 784.0]","[0.002216894531250001, 0.001297119140625, 0.0011556152343750001, 0.18591254882812502, 0.028701708984374998, -0.00021225585937500042, 0.00221689453125, 0.00165087890625, 0.0006603515625, 0.00051884765625, 0.0028300781250000014, 0.0031838378906250005, 0.0011084472656250001, 0.00400927734375, 0.007098779296875001, 0.006509179687500001]"
52,"[339, 416, 416, 416, 416, 416, 420, 420, 450, 450, 450, 450, 450, 459]","[775.3333333333334, 383.42409638554216, 398.0, 407.23364485981307, 423.125, 434.0, 606.0, 753.0, 385.0, 410.0, 501.6, 646.0, 786.0, 1374.2222222222222]","[0.0018867187499999997, 0.18654931640625003, 0.027829101562499993, -0.0005188476562500001, 0.0025470703125000005, 0.0007311035156250001, 0.00287724609375, 0.0034196777343749995, 0.0013442871093750004, 0.001108447265625, 0.00400927734375, 0.007051611328125001, 0.006084667968749999, 0.0016980468750000003]"
53,"[362, 366, 366, 366, 370, 397, 410, 416, 416, 416, 416, 416, 416, 416, 416, 420, 420, 450, 450, 450, 450, 450]","[1314.75, 1258.0, 1787.0, 1904.0, 1857.3333333333333, 468.8, 995.0, 383.5084337349398, 398.0, 407.30973451327435, 423.22222222222223, 424.0, 432.2857142857143, 455.7142857142857, 479.0, 603.0, 753.0, 386.0, 409.3333333333333, 502.8, 646.0, 788.5]","[0.0017923828125000006, 0.001155615234375, 0.0012263671875000002, 0.0013207031249999998, 0.0012263671875000002, 0.004127197265625, 0.0020282226562499998, 0.185959716796875, 0.027876269531250008, -0.000542431640625, 0.001910302734375, 0.0014857910156249998, 0.000448095703125, 0.00037734375, 0.000495263671875, 0.0025706542968749998, 0.003042333984375, 0.001155615234375, 0.0009197753906250001, 0.0042451171875, 0.007711962890625004, 0.006933691406250002]"
54,"[344, 366, 366, 400, 416, 416, 416, 416, 416, 416, 416, 420, 420, 448, 450, 450, 450, 450, 450, 457]","[641.0, 89.5, 817.3333333333334, 465.0, 383.36546674801707, 398.0, 407.265306122449, 423.1764705882353, 424.0, 434.0, 440.0, 612.0, 770.0, 145.0, 385.5, 410.0, 502.0, 645.0, 787.3333333333334, 466.53333333333336]","[0.0016272949218750002, 0.00117919921875, 0.0014150390624999998, 0.0013442871093750004, 0.18805869140625, 0.025659374999999995, -0.00018867187500000028, 0.0019810546875, 0.0015093749999999999, 0.000542431640625, 0.00030659179687500006, 0.0026885742187499994, 0.0018867187500000002, 0.0008254394531250001, 0.00108486328125, 0.0008254394531250001, 0.0037498535156250006, 0.005966748046875, 0.006155419921875, 0.00259423828125]"
55,"[334, 339, 339, 344, 366, 388, 416, 416, 416, 416, 416, 416, 420, 420, 450, 450, 450, 450, 450]","[999.3333333333334, 767.0, 1177.0, 635.0, 962.5, 1345.4, 383.5888754534462, 398.0, 407.39130434782606, 423.3157894736842, 424.0, 433.0, 608.0, 915.5, 385.3333333333333, 409.0, 501.5, 646.0, 788.0]","[0.0015801269531249998, 0.0025942382812500003, 0.0026649902343749998, 0.0019810546875000004, 0.0018867187500000006, 0.0019810546875, 0.18586538085937498, 0.02712158203125, -0.0002122558593750002, 0.001910302734375, 0.0015801269531250002, 0.0004716796875, 0.002240478515625, 0.002381982421875, 0.0012735351562500003, 0.0012263671875, 0.004410205078125, 0.007334619140625002, 0.006627099609375]"
56,"[339, 365, 369, 372, 373, 386, 405, 416, 416, 416, 416, 416, 416, 416, 419, 420, 420, 450, 450, 450, 450, 450]","[768.0, 472.0, 673.2, 466.75, 465.4, 466.0, 460.6666666666667, 383.1197982345523, 398.0, 407.1392405063291, 423.07142857142856, 424.0, 432.0, 440.0, 471.8, 608.0, 755.0, 385.0, 410.0, 501.5, 642.0, 788.3333333333334]","[0.002334814453125, 0.000943359375, 0.002476318359375, 0.0014857910156250002, 0.0014857910156249995, 0.00212255859375, 0.00165087890625, 0.18202119140624998, 0.02415, -0.0004480957031250002, 0.00155654296875, 0.00113203125, 0.00033017578125, 0.0002830078125, 0.00193388671875, 0.0028772460937500004, 0.0031602539062500004, 0.0013207031249999998, 0.0012263671875, 0.004245117187500001, 0.007877050781250002, 0.006862939453124999]"
57,"[334, 339, 370, 398, 416, 416, 416, 416, 416, 416, 420, 420, 450, 450, 450, 450, 450]","[823.0, 770.0, 471.6, 464.6666666666667, 383.3466666666667, 398.0, 407.17525773195877, 423.07142857142856, 424.0, 447.8181818181818, 610.0, 760.0, 385.0, 410.0, 502.0, 647.0, 786.0]","[0.002641406250000001, 0.0023819824218749997, 0.001320703125, 0.0022168945312500007, 0.18725683593750003, 0.02679140625, -0.0004716796875000004, 0.0017687988281250002, 0.0014386230468750006, 0.000117919921875, 0.0028536621093750002, 0.002900830078125, 0.0015801269531250004, 0.0014622070312499996, 0.004197949218750001, 0.006957275390625002, 0.006697851562500003]"
58,"[339, 368, 393, 395, 398, 404, 416, 416, 416, 416, 416, 416, 416, 420, 420, 420, 421, 421, 421, 421, 421, 421, 450, 450, 450, 450, 450]","[768.0, 465.77777777777777, 437.09090909090907, 899.1428571428571, 568.6666666666666, 1118.5, 382.90006618133685, 398.0, 408.0, 422.8333333333333, 424.0, 432.0, 447.6363636363636, 610.0, 763.0, 913.0, 420.6666666666667, 521.8, 948.6666666666666, 1020.9333333333333, 1299.0588235294117, 1302.0, 384.85714285714283, 408.6666666666667, 502.0, 645.0, 788.4]","[0.00259423828125, 0.002900830078125, 0.0021461425781250003, 0.0015093750000000003, 0.0005895996093750001, 0.003867773437500003, 0.1838607421875, 0.031154443359375002, 0.0020989746093749997, 0.00155654296875, 0.00155654296875, 0.00037734375, 0.00023583984374999997, 0.003348925781250001, 0.004433789062499999, 0.002429150390625, 0.001532958984375, 0.0020046386718750005, 0.0005895996093750001, 0.002051806640625, 0.002004638671875, 0.002051806640625, 0.0014150390624999998, 0.001061279296875, 0.004315869140625001, 0.007051611328125001, 0.005895996093749999]"
59,"[344, 351, 366, 369, 369, 372, 402, 416, 416, 416, 416, 416, 416, 420, 420, 450, 450, 450, 450, 450, 461, 461]","[643.0, 1641.7777777777778, 1328.0, 87.71428571428571, 1764.0, 845.6, 120.85714285714286, 383.3463653023824, 398.0, 407.25252525252523, 423.1666666666667, 424.0, 434.0, 602.6666666666666, 754.6666666666666, 385.0, 408.6666666666667, 502.0, 645.0, 788.4, 469.3, 472.0]","[0.001391455078125, 0.0022876464843749997, 0.0031366699218750007, 0.0021461425781250003, 0.0013207031250000005, 0.001014111328125, 0.0014150390625, 0.18834169921875002, 0.02580087890625, -0.00030659179687499984, 0.0020046386718749996, 0.0016037109375000003, 0.00042451171875, 0.0032545898437500017, 0.004598876953124999, 0.0014150390625, 0.0015801269531250002, 0.004622460937500001, 0.0067686035156250025, 0.005730908203124998, 0.0023583984375, 0.002429150390625]"
60,"[334, 375, 416, 416, 416, 416, 416, 416, 420, 420, 420, 439, 450, 450, 450, 450, 450]","[711.0, 478.8888888888889, 383.14821763602254, 398.0, 407.11392405063293, 423.0, 424.0, 447.8333333333333, 602.6666666666666, 771.0, 916.0, 171.11111111111111, 385.3333333333333, 410.0, 501.0, 646.6666666666666, 785.3333333333334]","[0.0016272949218750002, 0.0014857910156250002, 0.182091943359375, 0.024786767578124997, -0.0004716796874999998, 0.001721630859375, 0.001344287109375, 9.43359375e-05, 0.0032781738281250014, 0.0036791015625000007, 0.0024999023437500003, 0.0014386230468750002, 0.0013442871093749997, 0.000966943359375, 0.003962109375, 0.006556347656250003, 0.006485595703125001]"
61,"[339, 339, 366, 384, 416, 416, 416, 416, 416, 420, 420, 420, 425, 450, 450, 450, 450, 450, 453]","[471.3333333333333, 777.0, 750.0, 1935.0, 383.2841328413284, 398.0, 407.2087912087912, 423.0967741935484, 432.0, 606.0, 770.0, 923.3333333333334, 464.9230769230769, 385.5, 409.0, 502.0, 644.0, 785.0, 299.0]","[0.0008961914062500001, 0.0017452148437500001, 0.001014111328125, 0.0013442871093750006, 0.18895488281249997, 0.025565039062500003, -0.0001415039062499999, 0.0025234863281250004, 0.0008961914062499999, 0.0031602539062500004, 0.0041743652343750005, 0.0017923828125000006, 0.002924414062500001, 0.0011084472656250001, 0.0008726074218750001, 0.003608349609375, 0.006438427734375, 0.005848828124999999, 0.0012263671875]"
62,"[332, 339, 340, 347, 355, 356, 357, 358, 360, 364, 366, 366, 368, 368, 371, 376, 384, 384, 386, 389, 391, 391, 393, 394, 394, 398, 403, 403, 404, 404, 406, 411, 416, 416, 416, 416, 416, 416, 416, 417, 419, 420, 420, 420, 420, 421, 421, 421, 421, 421, 421, 425, 425, 425, 425, 428, 432, 438, 447, 450, 450, 450, 450, 450, 452, 453, 453]","[483.6666666666667, 775.0, 625.0, 1831.4285714285713, 209.83333333333334, 1603.0, 547.0, 476.6666666666667, 1585.5555555555557, 1446.3333333333333, 994.0, 1522.0, 67.5, 450.57142857142856, 509.3333333333333, 235.33333333333334, 562.625, 1664.0, 1101.0, 1496.6666666666667, 1749.6470588235295, 1790.1666666666667, 84.15384615384616, 1053.0, 1840.4444444444443, 1101.111111111111, 835.1428571428571, 1960.3333333333333, 65.6, 794.6666666666666, 226.85714285714286, 139.0, 383.39229843561975, 398.0, 407.2037037037037, 423.05555555555554, 424.0, 434.0, 463.6, 442.6666666666667, 1751.2, 608.0, 755.0, 915.3333333333334, 1359.0, 122.8, 330.44444444444446, 595.0, 788.6666666666666, 979.0, 1921.7777777777778, 245.33333333333334, 921.6666666666666, 1434.6666666666667, 1905.8, 1008.6666666666666, 1703.8333333333333, 1042.4, 500.6, 386.5, 409.3333333333333, 501.3333333333333, 642.0, 787.0, 1338.5333333333333, 368.2857142857143, 1189.8181818181818]","[0.0012971191406250004, 0.00193388671875, 0.0022404785156249995, 0.0016980468750000003, 0.0038913574218749996, 0.0012735351562500003, 0.006037500000000002, 0.0016037109375000008, 0.00306591796875, 0.002381982421875, 0.0011791992187500002, 0.0015329589843750002, 0.00278291015625, 0.0027593261718750007, 0.0009669433593750002, 0.0014150390625000003, 0.002523486328125, 0.001957470703125, 0.0024999023437500003, 0.003042333984375, 0.0027121582031250004, 0.0025706542968750006, 0.004952636718750001, 0.0013442871093749997, 0.0034196777343749995, 0.0019810546875000004, 0.0018159667968750005, 0.0010848632812500002, 0.002429150390625001, 0.0019103027343750005, 0.001863134765625, 0.0009433593750000003, 0.18654931640625003, 0.028418701171874998, -0.0006131835937499995, 0.0021461425781250003, 0.0017216308593750002, 0.0005660156250000001, 0.000400927734375, 0.0022640625, 0.0008726074218750001, 0.0034432617187500005, 0.004410205078125001, 0.00259423828125, 0.002004638671875, 0.0014622070312500005, 0.0019574707031250003, 0.0016744628906249998, 0.00089619140625, 0.001320703125, 0.0016744628906250004, 0.0013914550781250004, 0.0009433593750000004, 0.0008490234375000002, 0.0022640625, 0.0022404785156250003, 0.001155615234375, 0.001768798828125, 0.0016980468750000006, 0.0010848632812500002, 0.000825439453125, 0.003726269531249999, 0.007122363281250002, 0.006721435546875003, 0.0027121582031250004, 0.001698046875, 0.00202822265625]"
63,"[360, 396, 416, 416, 416, 416, 416, 416, 420, 420, 420, 446, 450, 450, 450, 450, 463]","[1664.0, 1606.9444444444443, 383.31303288672353, 398.0, 407.1914893617021, 422.962962962963, 434.0, 440.0, 604.0, 753.3333333333334, 914.0, 1779.8333333333333, 386.0, 502.6666666666667, 645.3333333333334, 787.3333333333334, 536.421052631579]","[0.0012027832031250001, 0.004905468750000001, 0.18824736328125, 0.026296142578125, -9.433593750000045e-05, 0.0025470703125, 0.000636767578125, 0.00035375976562499996, 0.0030187500000000006, 0.0037970214843750004, 0.0025470703125000005, 0.002004638671875, 0.0012027832031250001, 0.003844189453125, 0.007428955078125001, 0.0064620117187500015, 0.002381982421875]"
64,"[339, 340, 344, 369, 377, 416, 416, 416, 416, 416, 416, 416, 420, 420, 420, 450, 450, 450, 450, 450]","[778.0, 797.0, 641.0, 1204.0, 470.6666666666667, 383.21717791411044, 398.0, 407.1136363636364, 423.05882352941177, 424.0, 432.0, 440.0, 610.0, 753.0, 921.3333333333334, 384.0, 410.0, 502.0, 646.0, 786.0]","[0.0018159667968750003, 0.001910302734375, 0.0014622070312499999, 0.0016508789062500001, 0.0017923828125, 0.18051181640624997, 0.026744238281250002, -0.0004952636718750002, 0.001910302734375, 0.001698046875, 0.0004952636718750001, 0.00033017578125, 0.0030659179687499995, 0.00372626953125, 0.0020753906250000004, 0.00108486328125, 0.0010376953125, 0.004080029296875001, 0.007051611328125001, 0.006509179687500001]"
65,"[339, 339, 416, 416, 416, 416, 416, 416, 420, 420, 440, 450, 450, 450, 450, 450, 461]","[599.5, 776.0, 383.392574558734, 398.0, 407.28, 423.14285714285717, 424.0, 434.0, 606.0, 755.0, 1778.0, 384.0, 408.6666666666667, 501.0, 644.0, 786.0, 1903.5555555555557]","[0.0029008300781250013, 0.001957470703125, 0.1878228515625, 0.025730126953124998, -0.0004009277343750001, 0.0020518066406250003, 0.001509375, 0.000400927734375, 0.0026649902343749993, 0.0029951660156250005, 0.003207421875000003, 0.0016508789062500001, 0.0014857910156249998, 0.004339453125, 0.0076412109375, 0.007947802734375, 0.001155615234375]"
