PMT ID, X Position, Y Position, Z Position
135, 1040.622200, -137.000500, 219.500000
136, 1040.622200, -137.000500, 0.000000
137, 1040.622200, -137.000500, -219.500000
138, 1040.622200, -137.000500, -439.000000
139, 1040.622200, -137.000500, -658.500000
140, 969.705500, -401.665200, 658.500000
141, 969.705500, -401.665200, 439.000000
142, 969.705500, -401.665200, 219.500000
143, 969.705500, -401.665200, 0.000000
144, 969.705500, -401.665200, -219.500000
145, 969.705500, -401.665200, -439.000000
146, 969.705500, -401.665200, -658.500000
147, 832.705000, -638.957000, 658.500000
148, 832.705000, -638.957000, 439.000000
149, 832.705000, -638.957000, 219.500000
150, 832.705000, -638.957000, 0.000000
151, 832.705000, -638.957000, -219.500000
152, 832.705000, -638.957000, -439.000000
153, 832.705000, -638.957000, -658.500000
154, 638.957000, -832.705000, 658.500000
155, 638.957000, -832.705000, 439.000000
156, 638.957000, -832.705000, 219.500000
157, 638.957000, -832.705000, 0.000000
158, 638.957000, -832.705000, -219.500000
159, 638.957000, -832.705000, -439.000000
160, 638.957000, -832.705000, -658.500000
161, 401.665200, -969.705500, 658.500000
162, 401.665200, -969.705500, 439.000000
163, 401.665200, -969.705500, 219.500000
164, 401.665200, -969.705500, 0.000000
165, 401.665200, -969.705500, -219.500000
166, 401.665200, -969.705500, -439.000000
167, 401.665200, -969.705500, -658.500000
168, 137.000500, -1040.622200, 658.500000
169, 137.000500, -1040.622200, 439.000000
170, 137.000500, -1040.622200, 219.500000
171, 137.000500, -1040.622200, 0.000000
172, 137.000500, -1040.622200, -219.500000
173, 137.000500, -1040.622200, -439.000000
174, 137.000500, -1040.622200, -658.500000
175, -137.000500, -1040.622200, 658.500000
176, -137.000500, -1040.622200, 439.000000
177, -137.000500, -1040.622200, 219.500000
178, -137.000500, -1040.622200, 0.000000
179, -137.000500, -1040.622200, -219.500000
180, -137.000500, -1040.622200, -439.000000
181, -137.000500, -1040.622200, -658.500000
182, -401.665200, -969.705500, 658.500000
183, -401.665200, -969.705500, 439.000000
184, -401.665200, -969.705500, 219.500000
185, -401.665200, -969.705500, 0.000000
186, -401.665200, -969.705500, -219.500000
187, -401.665200, -969.705500, -439.000000
188, -401.665200, -969.705500, -658.500000
189, -638.957000, -832.705000, 658.500000
190, -638.957000, -832.705000, 439.000000
191, -638.957000, -832.705000, 219.500000
192, -638.957000, -832.705000, 0.000000
193, -638.957000, -832.705000, -219.500000
194, -638.957000, -832.705000, -439.000000
195, -638.957000, -832.705000, -658.500000
196, -832.705000, -638.957000, 658.500000
197, -832.705000, -638.957000, 439.000000
198, -832.705000, -638.957000, 219.500000
199, -832.705000, -638.957000, 0.000000
200, -832.705000, -638.957000, -219.500000
201, -832.705000, -638.957000, -439.000000
202, -832.705000, -638.957000, -658.500000
203, -969.705500, -401.665200, 658.500000
204, -969.705500, -401.665200, 439.000000
205, -969.705500, -401.665200, 219.500000
206, -969.705500, -401.665200, 0.000000
207, -969.705500, -401.665200, -219.500000
208, -969.705500, -401.665200, -439.000000
209, -969.705500, -401.665200, -658.500000
210, -1040.622200, -137.000500, 658.500000
211, -1040.622200, -137.000500, 439.000000
212, -1040.622200, -137.000500, 219.500000
213, -1040.622200, -137.000500, 0.000000
214, -1040.622200, -137.000500, -219.500000
215, -1040.622200, -137.000500, -439.000000
216, -1040.622200, -137.000500, -658.500000
217, 0.000000, -658.263043, 1149.734688
218, 0.000000, -333.708127, 1232.161136
219, 0.000000, 333.708127, 1232.161136
220, 0.000000, 658.263043, 1149.734688
221, -285.518401, -814.309562, 1066.501827
222, -302.337801, -497.694917, 1174.215736
223, -310.864439, -167.429099, 1228.821576
224, -310.864439, 167.429099, 1228.821576
225, -302.337801, 497.694917, 1174.215736
226, -285.518401, 814.309562, 1066.501827
227, -607.948537, -333.708127, 1137.230690
228, -616.402121, 0.000000, 1163.639680
229, -607.948537, 333.708127, 1137.230690
230, -582.819656, 658.263043, 1058.728087
231, 285.518401, -814.309562, 1066.501827
232, 302.337801, -497.694917, 1174.215736
233, 310.864439, -167.429099, 1228.821576
234, 310.864439, 167.429099, 1228.821576
235, 302.337801, 497.694917, 1174.215736
236, 285.518401, 814.309562, 1066.501827
237, 582.819656, -658.263043, 1058.728087
238, 607.948537, -333.708127, 1137.230690
239, 616.402121, 0.000000, 1163.639680
240, 607.948537, 333.708127, 1137.230690
