Event Number,PMT ID,Time,Charge
1,3,338.07612105263155,2.5537109375
1,6,335.60793333333334,2.9003906250000533
1,17,333.1215235955056,3.5009765624998934
1,20,336.6860117647059,2.1972656250000533
1,22,354.46991329479766,2.529296875
1,23,335.16855510204084,2.1972656249999467
1,27,335.0774666666666,2.9443359375000533
1,52,347.8486,2.4121093750000533
1,53,334.9545483870968,2.4902343749999467
1,54,337.1759333333333,2.1630859375000533
1,59,337.7192857142858,1.6162109374999467
1,61,336.2063,1.9091796875
1,66,337.50314444444444,1.2207031249999467
1,71,339.14548947368417,2.3632812500000533
1,72,337.38900526315786,2.1191406250001066
1,73,337.6277888888889,4.794921875
1,74,337.9063290322581,4.140624999999893
1,75,337.07675454545455,3.6279296874999467
1,80,337.31498275862066,2.3437500000001066
1,81,337.81508767123285,2.7246093749998934
1,83,338.15002093023253,1.8115234374998934
1,85,339.5380777777778,1.7773437499998934
1,86,336.564393006993,4.912109374999893
1,87,337.4773666666667,10.043945312500053
1,88,337.48143636363636,11.186523437499893
1,94,337.8310064516129,7.358398437500107
1,96,336.7296045112782,4.301757812499893
1,97,337.790225,5.371093749999893
1,99,337.9467148148148,1.5820312500000533
1,103,337.19983232323233,2.7880859374999467
1,125,-126.7367999999997,3.7695312500001066
1,144,346.8816761061947,2.8271484375
1,149,92.96033333333332,2.294921875
1,170,213.05116949152543,2.4560546875000533
1,213,336.3494126760563,2.5048828125000533
2,2,335.26371052631583,1.4697265624999467
2,6,342.3357764705882,3.9648437500000533
2,8,335.4113717948718,1.7578125
2,18,335.7501975609756,1.4990234375
2,20,336.0980492753623,3.4472656249998934
2,25,335.96298059701496,1.8896484374999467
2,55,337.0299463414634,2.861328125
2,58,337.65233913043477,1.4160156250000533
2,59,338.12873333333334,2.1777343749999467
2,60,336.5415352112676,3.7060546875000533
2,61,335.76579206349203,4.404296875
2,65,336.13875797101446,2.3535156250000533
2,67,337.18437088607595,4.174804687499947
2,68,337.73551630094045,5.2392578125
2,72,337.42931610738253,8.657226562499893
2,73,337.7883117647059,6.621093750000053
2,74,338.0726844720497,6.362304687500053
2,75,337.9191260869565,5.771484375000107
2,78,338.05870909090913,2.2802734374999467
2,81,336.8210307692308,2.2363281249999467
2,83,337.4316112033195,5.527343749999947
2,86,338.068243373494,3.3105468749998934
2,87,341.78659041095887,0.3369140625001066
2,88,337.5340314049587,16.088867187500053
2,94,336.8597171339564,8.427734374999893
2,96,336.50942729658794,7.929687499999947
